monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20211121,20211128,3
0,0,0,0,0,1,1,20211121,20211127,41
0,0,0,0,0,1,1,20211121,20211128,6
0,0,0,0,0,1,1,20211127,20211128,19
0,0,0,0,1,0,1,20211121,20211126,89
0,0,0,0,1,0,1,20211121,20211128,46
0,0,0,0,1,0,1,20211126,20211128,55
0,0,0,0,1,1,0,20211126,20211127,36
0,0,0,0,1,1,1,20211121,20211127,62
0,0,0,0,1,1,1,20211121,20211128,22
0,0,0,0,1,1,1,20211126,20211128,11
0,0,0,1,0,0,1,20211121,20211128,125
0,0,0,1,0,0,1,20211125,20211128,149
0,0,0,1,0,1,0,20211125,20211127,37
0,0,0,1,0,1,1,20211121,20211128,130
0,0,0,1,0,1,1,20211125,20211128,90
0,0,0,1,1,0,0,20211125,20211126,38
0,0,0,1,1,0,1,20211121,20211126,103
0,0,0,1,1,0,1,20211121,20211128,154
0,0,0,1,1,0,1,20211125,20211128,108
0,0,0,1,1,1,0,20211125,20211127,39
0,0,0,1,1,1,1,20211121,20211127,31
0,0,0,1,1,1,1,20211121,20211128,79
0,0,0,1,1,1,1,20211125,20211128,7
0,0,1,0,0,0,1,20211121,20211124,134
0,0,1,0,0,0,1,20211121,20211128,162
0,0,1,0,0,0,1,20211124,20211128,102
0,0,1,0,0,1,0,20211124,20211127,182
0,0,1,0,1,0,0,20211124,20211126,136
0,0,1,0,1,0,1,20211121,20211126,174
0,0,1,0,1,1,0,20211124,20211127,129
0,0,1,0,1,1,1,20211121,20211128,48
0,0,1,0,1,1,1,20211124,20211128,115
0,0,1,1,0,0,0,20211124,20211125,59
0,0,1,1,0,0,1,20211121,20211125,14
0,0,1,1,0,0,1,20211121,20211128,128
0,0,1,1,0,0,1,20211124,20211128,146
0,0,1,1,0,1,0,20211124,20211127,156
0,0,1,1,0,1,1,20211121,20211127,148
0,0,1,1,0,1,1,20211121,20211128,70
0,0,1,1,0,1,1,20211124,20211128,147
0,0,1,1,1,0,0,20211124,20211126,40
0,0,1,1,1,0,1,20211121,20211126,180
0,0,1,1,1,0,1,20211121,20211128,135
0,0,1,1,1,1,0,20211124,20211127,49
0,0,1,1,1,1,1,20211121,20211127,153
0,0,1,1,1,1,1,20211121,20211128,35
0,0,1,1,1,1,1,20211124,20211128,100
0,1,0,0,0,0,1,20211121,20211123,1
0,1,0,0,0,1,0,20211123,20211127,168
0,1,0,0,0,1,1,20211121,20211128,181
0,1,0,0,1,0,0,20211123,20211126,117
0,1,0,0,1,1,0,20211123,20211127,177
0,1,0,1,0,0,0,20211123,20211125,99
0,1,0,1,0,1,1,20211121,20211128,137
0,1,0,1,1,0,0,20211123,20211126,83
0,1,0,1,1,1,0,20211123,20211127,88
0,1,0,1,1,1,1,20211121,20211128,132
0,1,0,1,1,1,1,20211123,20211128,93
0,1,1,0,0,0,0,20211123,20211124,104
0,1,1,0,0,0,1,20211121,20211124,127
0,1,1,0,0,1,1,20211121,20211128,166
0,1,1,0,1,0,0,20211123,20211126,76
0,1,1,0,1,0,1,20211121,20211128,159
0,1,1,0,1,1,0,20211123,20211127,139
0,1,1,0,1,1,1,20211121,20211128,66
0,1,1,0,1,1,1,20211123,20211128,123
0,1,1,1,0,0,0,20211123,20211125,53
0,1,1,1,0,0,1,20211121,20211125,69
0,1,1,1,0,0,1,20211121,20211128,82
0,1,1,1,0,0,1,20211123,20211128,144
0,1,1,1,0,1,0,20211123,20211127,71
0,1,1,1,0,1,1,20211121,20211128,141
0,1,1,1,0,1,1,20211123,20211128,72
0,1,1,1,1,0,0,20211123,20211126,25
0,1,1,1,1,0,1,20211121,20211126,178
0,1,1,1,1,0,1,20211121,20211128,119
0,1,1,1,1,0,1,20211123,20211128,101
0,1,1,1,1,1,0,20211123,20211127,24
0,1,1,1,1,1,1,20211121,20211127,167
0,1,1,1,1,1,1,20211121,20211128,61
0,1,1,1,1,1,1,20211123,20211128,52
1,0,0,0,0,0,1,20211121,20211122,86
1,0,0,0,0,0,1,20211121,20211128,10
1,0,0,0,0,0,1,20211122,20211128,113
1,0,0,0,0,1,0,20211122,20211127,150
1,0,0,0,0,1,1,20211121,20211127,131
1,0,0,0,0,1,1,20211121,20211128,30
1,0,0,0,0,1,1,20211122,20211128,110
1,0,0,0,1,0,0,20211122,20211126,77
1,0,0,0,1,0,1,20211121,20211126,155
1,0,0,0,1,1,0,20211122,20211127,173
1,0,0,0,1,1,1,20211121,20211128,9
1,0,0,0,1,1,1,20211122,20211128,85
1,0,0,1,0,0,0,20211122,20211125,73
1,0,0,1,0,0,1,20211121,20211125,74
1,0,0,1,0,0,1,20211121,20211128,165
1,0,0,1,1,0,0,20211122,20211126,81
1,0,0,1,1,0,1,20211121,20211128,171
1,0,0,1,1,1,1,20211121,20211127,133
1,0,0,1,1,1,1,20211121,20211128,96
1,0,1,0,0,0,0,20211122,20211124,122
1,0,1,0,0,0,1,20211121,20211124,140
1,0,1,0,0,0,1,20211122,20211128,157
1,0,1,0,0,1,1,20211121,20211127,152
1,0,1,0,0,1,1,20211121,20211128,176
1,0,1,0,1,0,0,20211122,20211126,142
1,0,1,0,1,1,1,20211121,20211128,43
1,0,1,1,0,0,0,20211122,20211125,107
1,0,1,1,0,0,1,20211121,20211128,97
1,0,1,1,0,1,1,20211121,20211128,87
1,0,1,1,1,0,0,20211122,20211126,67
1,0,1,1,1,0,1,20211121,20211126,161
1,0,1,1,1,0,1,20211121,20211128,47
1,0,1,1,1,1,0,20211122,20211127,105
1,0,1,1,1,1,1,20211121,20211127,111
1,0,1,1,1,1,1,20211121,20211128,27
1,0,1,1,1,1,1,20211122,20211128,169
1,1,0,0,0,0,0,20211122,20211123,80
1,1,0,0,0,0,1,20211121,20211123,44
1,1,0,0,0,0,1,20211121,20211128,118
1,1,0,0,0,0,1,20211122,20211128,98
1,1,0,0,0,1,0,20211122,20211127,164
1,1,0,0,0,1,1,20211121,20211128,121
1,1,0,0,1,0,0,20211122,20211126,64
1,1,0,0,1,0,1,20211121,20211126,116
1,1,0,0,1,1,0,20211122,20211127,114
1,1,0,0,1,1,1,20211121,20211127,126
1,1,0,0,1,1,1,20211121,20211128,58
1,1,0,0,1,1,1,20211122,20211128,163
1,1,0,1,0,0,0,20211122,20211125,95
1,1,0,1,0,0,1,20211121,20211125,112
1,1,0,1,0,0,1,20211121,20211128,138
1,1,0,1,0,0,1,20211122,20211128,170
1,1,0,1,0,1,0,20211122,20211127,151
1,1,0,1,0,1,1,20211121,20211128,75
1,1,0,1,0,1,1,20211122,20211128,160
1,1,0,1,1,0,0,20211122,20211126,56
1,1,0,1,1,0,1,20211121,20211128,124
1,1,0,1,1,1,0,20211122,20211127,60
1,1,0,1,1,1,1,20211121,20211127,143
1,1,0,1,1,1,1,20211121,20211128,15
1,1,0,1,1,1,1,20211122,20211128,109
1,1,1,0,0,0,0,20211122,20211124,51
1,1,1,0,0,0,1,20211121,20211124,34
1,1,1,0,0,0,1,20211121,20211128,91
1,1,1,0,0,0,1,20211122,20211128,92
1,1,1,0,0,1,0,20211122,20211127,175
1,1,1,0,0,1,1,20211121,20211127,179
1,1,1,0,0,1,1,20211121,20211128,50
1,1,1,0,0,1,1,20211122,20211128,120
1,1,1,0,1,0,0,20211122,20211126,106
1,1,1,0,1,0,1,20211121,20211126,145
1,1,1,0,1,0,1,20211121,20211128,158
1,1,1,0,1,1,0,20211122,20211127,65
1,1,1,0,1,1,1,20211121,20211127,84
1,1,1,0,1,1,1,20211121,20211128,57
1,1,1,0,1,1,1,20211122,20211128,94
1,1,1,1,0,0,0,20211122,20211125,13
1,1,1,1,0,0,1,20211121,20211125,23
1,1,1,1,0,0,1,20211121,20211128,21
1,1,1,1,0,0,1,20211122,20211128,42
1,1,1,1,0,1,0,20211122,20211127,68
1,1,1,1,0,1,1,20211121,20211127,172
1,1,1,1,0,1,1,20211121,20211128,33
1,1,1,1,0,1,1,20211122,20211128,63
1,1,1,1,1,0,0,20211122,20211126,4
1,1,1,1,1,0,1,20211121,20211126,26
1,1,1,1,1,0,1,20211121,20211128,17
1,1,1,1,1,0,1,20211122,20211128,78
1,1,1,1,1,1,0,20211122,20211127,20
1,1,1,1,1,1,1,20211121,20211127,54
1,1,1,1,1,1,1,20211121,20211128,5
1,1,1,1,1,1,1,20211122,20211128,29
